id,seeker_post,response_post
3986,"Well, I don't think my employer are gonna take that. I mean, they- they've given us so much hassle at things in the past. I mean, can- can I get a private note? Can- can I ask you to write me a letter, at least?","Uh, well- well, not really. Uh, you need to self-certify in your first seven days off sick so if you're going to take some time off, just take some paracetamol, lots of fluids, get a self-certified note, uh, in to your employer, and put sore throat there."
3987,Just- it's just not good enough. I just-- [sighs],"Uh, well, obviously that's a non-NHS thing so we have to charge you for that and our going rate for that is, uh, £12."
3988,"Parace- paracetamol. Do you understand how difficult this is gonna be for me? I mean, I could lose my job or something.","Oh, I'm sorry. But, you know, if you have just got a sore throat, then there's not much I can do about that. It's just, you know, something that we all get from time to time. Perhaps, what you really need to do is, uh, you know, just take some paracetamol and get some fluids."
3989,"I'm sorry, uh, I think I'm gonna say something that I don't- I don't want to, so I'm actually going to go.","Okay, that's pretty unlikely with sore throat. I think that's so, you know, a little bit of grand staging there."
3990,Thank you.,Okay.
3991,"Well, I, um, I did get an interview for a job. Um—",Bye.
3992,"Yeah, but I wasn't able to go, um, cause my kids, I didn't have any one to watch them. And, um, you know, so the- that was sort of game over. I just, I had to cancel the interview and this, it's too bad because it was a really, a- actually was a job that would have been good, but I don't know.","Wow, that's so great."
3993,"Well, yeah, because it's- it's, you know, I didn't really have a choice. I guess I have to be- I have to make sure my kids are taken care of first. And, um, you know, I'm worried that this is gonna keep happening.",You sound disappointed.
3994,Yeah.,It's gonna keep happening that you have to turn down opportunities.
3995,"Um, it sits about at a 10 because yeah, I mean, I'm the only one supporting my kids and, um, you know, it's just, what I'm getting from welfare is just not cutting it. So I really need to have a job and soon.","Mm-hmm, okay. Well, tell me, um, on a scale from one to 10, how important is it for you to get a job?"
3996,Yeah.,Yeah. You're-you're-you're it.
3997,Mm-hmm.,You have to provide for your children.
3998,"I mean, right now, I think I'm about at a three. I just seems like, you know, even if I'm able to get into the interview and get childcare, you know, when I show up, I've got this resume that it's- it's not impressive and it's got all these gaps of employment and I'm not as educated as other people going in for the same job. So I just feel like I'm not, um, I don't know, that employable.","Um, and tell me on a scale from one to 10, how confident are you that you could get a job?"
3999,Yeah.,"So, it sounds like, you know, the childcare issue has been getting in the way, and so finding something that would work for you would be really helpful."
4000,"Yeah. Yeah, because it's so limited and I've been out of the workforce and even when I was working, I mean, it's not, I don't know, it's not stuff that I feel like can lead to the job that I want now.",And then also it sounds like you're kinda feeling not so great about your resume and your experience.
4001,"I just want something that is- is gonna be steady and where I can be, you know, even if my kids are in childcare during the day, that I can be home every night and spending time with them and, um, know you really like to get something where, um, I'm just making good money and- and I don't have to worry all the time about money.",Okay. What is it that you- what is it that you want?
4002,Yeah. It would be huge.,"Yeah. Yeah. So, if you had- if you had consistent work, it would change your life in a lot of ways."
4003,Yeah. And it'd be nice to just know what I'm doing and just have my routine.,Mm-hmm. It would provide the income that you need and you wouldn't worry so much.
4004,Yeah.,Right. So every day you know where you're going.
4005,"Right. Well, it would be good if I knew, you know, that my kids are taken care of too-","Okay. And you know, what's- what's happening for the- for the day, for the week."
4006,- so I'm not worried about them while I'm at work.,Yeah.
4007,Right.,Right. Yeah. Because you're- you're the kind of parent that wants to make sure your kids are doing well.
4008,"Well, I mean, being able to make the interviews would be the priority.","Yeah. Um, so tell me, what would it take to get you to like a five in confidence, to feel a little bit more confident about getting work?"
4009,"Um, so chi- you know, taking care, having some childcare, having-","Okay, Yeah."
4010,- having someone I trust that I can call when I know I've got an interview.,Mm-hmm.
4011,Right. Yeah.,Yeah. Because you definitely need to go to an interview in order to get the job.
4012,Yeah.,"So having taken care of that part, having some reliable childcare would definitely help."
4013,"Um, I just wish that I had- I had more experience or, um, you know, more education. It seems like everyone's got a college education and I don't have that on my resume.",What else would get you to a five?
4014,I get asked about education and training and –,Okay.
4015,"- um, you know, I just, it, as soon as I asked about it, I just feel just like I'm not good enough-","Mm-hmm, mm-hmm."
4016,- since I don't have that.,Okay.
4017,"Yeah. Well, something I could talk about in the interview too. You know, even if I was some type of certification where I could say, I could, you know, with confidence talk about- about that.","Yeah, so if you had something on your resume that was around education training, maybe a certificate of some kind of a field that you're interested in, that you would feel proud of yourself."
